ICD10,ICD9,Flag
B178,07059,10000
B179,0709,10000
B180,07033,10000
B181,07032,10000
B182,07054,10000
B188,07059,10000
B189,07059,10000
B190,0706,00000
B1910,07030,10000
B1911,07020,10000
B1920,07070,00000
B1921,07071,00000
B199,0709,10000
B20,042,00000
B250,0785,10111
B250,4841,10112
B251,0785,10111
B251,5731,10112
B252,0785,10111
B252,5770,10112
B258,0785,10000
B259,0785,10000
B260,0720,00000
B261,0721,00000
B262,0722,00000
B263,0723,00000
B2681,07271,00000
B2682,07279,10000
B2683,07279,10000
B2684,07272,00000
B2685,07279,10000
B2689,07279,10000
B269,0729,00000
B2700,075,10000
B2701,075,10000
B2702,075,10000
B2709,075,10000
B2710,075,10000
B2711,075,10000
B2712,075,10000
B2719,075,10000
B2780,075,10000
B2781,075,10000
B2782,075,10000
B2789,075,10000
B2790,075,10000
B2791,075,10000
B2792,075,10000
B2799,075,10000
B300,0771,00000
B301,0773,10000
B302,0772,00000
B303,0774,00000
B308,0778,00000
B309,07799,00000
B330,0741,00000
B331,0663,10000
B3320,07420,10000
B3321,07422,10000
B3322,07423,10000
B3323,07421,10000
B3324,07889,10000
B333,07959,10000
B334,07981,10000
B338,0782,10000
B338,07889,10000
B338,07989,10000
B340,0790,10000
B341,0748,10000
B341,07989,10000
B342,07989,10000
B343,07983,10000
B344,07989,10000
B348,07989,10000
B349,7908,10000
B350,1100,00000
B351,1101,00000
B352,1102,00000
B353,1104,00000
B354,1105,10000
B355,1105,10000
B356,1103,00000
B358,1106,10000
B358,1108,10000
B359,1109,00000
B360,1110,00000
B361,1111,00000
B362,1112,00000
B363,1113,00000
B368,1118,10000
B369,1119,10000
B370,1120,10000
B371,1124,10000
B372,1123,00000
B373,1121,00000
B3741,1122,10000
B3742,1122,10000
B3749,1122,10000
B375,11283,00000
B376,11281,00000
B377,1125,10111
B377,99591,10112
B3781,11284,00000
B3782,11285,00000
B3783,1120,10000
B3784,11282,00000
B3789,11289,10000
B379,1129,00000
B380,1140,10000
B381,1144,00000
B382,1145,00000
B383,1141,10000
B384,1142,00000
B387,1143,10000
B3881,1141,10000
B3889,1143,10000
B389,1149,00000
B390,11505,10000
B391,11505,10000
B392,11505,10000
B393,11509,10000
B394,11500,10000
B395,11510,10000
B399,11590,10000
B400,1160,10000
B401,1160,10000
B402,1160,10000
B403,1160,10000
B407,1160,10000
B4081,1160,10000
B4089,1160,10000
B409,1160,10000
B410,1161,10000
B417,1161,10000
B418,1161,10000
B419,1161,10000
B420,1171,10000
B421,1171,10000
B427,1171,10000
B4281,1171,10000
B4282,1171,10000
B4289,1171,10000
B429,1171,10000
B430,1172,10000
B431,1172,10000
B432,1172,10000
B438,1172,10000
B439,1172,10000
B440,1173,10111
B440,4846,10112
B441,1173,10000
B442,1173,10000
B447,1173,10000
B4481,5186,00000
B4489,1173,10000
B449,1173,10000
B450,1175,10000
B451,1175,10111
B451,3210,10112
B452,1175,10000
B453,1175,10000
B457,1175,10000
B458,1175,10000
B459,1175,10000
B460,1177,10000
B461,1177,10000
B462,1177,10000
B463,1177,10000
B464,1177,10000
B465,1177,10000
B468,1177,10000
B469,1177,10000
B470,1174,10000
B471,0399,10000
B479,0394,10000
B480,1162,00000
B481,1170,00000
B482,1176,00000
B483,1179,10000
B484,1173,10000
B488,1178,10000
B488,118,10000
B49,1179,10000
B500,0849,10000
B508,0848,10000
B508,0849,10000
B509,0840,10000
B510,0849,10000
B518,0849,10000
B519,0841,10000
B519,0845,10000
B520,0849,10111
B520,58181,10112
B528,0849,10000
B529,0842,10000
B529,0845,10000
B530,0843,00000
B531,0844,10000
B538,0844,10000
B54,0846,00000
B550,0850,00000
B551,0851,10000
B551,0852,10000
B551,0853,10000
B551,0854,10000
B552,0855,00000
B559,0859,00000
B560,0863,00000
B561,0864,00000
B569,0865,10000
B569,0869,10000
B570,0860,10000
B571,0862,10000
B572,0860,10000
B5730,0861,10000
B5731,0861,10000
B5732,0861,10000
B5739,0861,10000
B5740,0861,10000
B5741,0861,10000
B5742,0861,10000
B5749,0861,10000
B575,0861,10000
B5800,1307,10000
B5801,1302,00000
B5809,1301,10000
B581,1305,00000
B582,1300,00000
B583,1304,10000
B5881,1303,00000
B5882,1307,10000
B5883,1307,10000
B5889,1307,10000
B589,1309,00000
B59,1363,00000
B600,08882,00000
B6010,13629,10000
B6011,13621,10000
B6012,13621,10111
B6012,37215,10112
B6013,13621,10111
B6013,3708,10112
B6019,13629,10000
B602,13629,10000
B608,1368,10000
B64,0889,10000
B64,1369,10000
B650,1200,00000
B651,1201,00000
B652,1202,00000
B653,1203,00000
B658,1208,00000
B659,1209,00000
B660,1210,00000
B661,1211,00000
B662,1218,10000
B663,1213,00000
B664,1212,00000
B665,1214,00000
B668,1215,10000
B668,1216,10000
B668,1218,10000
B669,1219,00000
B670,1220,00000
B671,1221,00000
B672,1223,10000
B6731,1222,00000
B6732,1223,10000
B6739,1223,10000
B674,1224,00000
B675,1225,00000
B6761,1226,10000
B6769,1226,10000
B677,1227,00000
B678,1228,00000
B6790,1229,10000
B6799,1229,10000
B680,1230,00000
B681,1232,00000
B689,1233,00000
B690,1231,10000
B691,1231,10000
B6981,1231,10000
B6989,1231,10000
B699,1231,10000
B700,1234,00000
B701,1235,00000
B710,1236,00000
B711,1238,10000
B718,1238,10000
B719,1239,00000
B72,1257,00000
B7300,1253,10000
B7301,1253,10000
B7302,1253,10000
B7309,1253,10000
B731,1253,10000
B740,1250,00000
B741,1251,00000
B742,1256,10000
B743,1252,00000
B744,1255,00000
B748,1256,10000
B749,1259,00000
B75,124,00000
B760,1260,10000
B760,1262,10000
B760,1263,10000
B760,1268,10000
B761,1261,00000
B768,1269,10000
B769,1269,10000
B770,1270,10000
B7781,1270,10111
B7781,4848,10112
B7789,1270,10000
B779,1270,10000
B780,1272,10000
B781,6868,10000
B787,1272,10000
B789,1272,10000
B79,1273,00000
B80,1274,00000
B810,1271,00000
B811,1275,00000
B812,1276,00000
B813,1277,10000
B814,1278,00000
B818,1277,10000
B820,1279,00000
B829,129,00000
B830,1280,00000
B831,1281,00000
B832,1288,10000
B833,1288,10000
B834,1342,10000
B838,1288,10000
B839,1289,00000
B850,1320,00000
B851,1321,00000
B852,1329,00000
B853,1322,00000
B854,1323,00000
B86,1330,00000
B870,1340,10000
B871,1340,10000
B872,1340,10000
B873,1340,10000
B874,1340,10000
B8781,1340,10000
B8782,1340,10000
B8789,1340,10000
B879,1340,10000
B880,1338,10000
B881,1341,10000
B882,1341,10000
B883,1342,10000
B888,1348,10000
B889,1349,10000
B89,1369,10000
B900,1371,00000
B901,1372,00000
B902,1373,00000
B908,1374,00000
B909,1370,00000
B91,138,10000
B92,1398,10000
B940,1391,00000
B941,1390,00000
B942,1398,10000
B948,1398,10000
B949,1398,10000
B950,04101,00000
B951,04102,00000
B952,04104,00000
B953,04109,10000
B954,04109,10000
B955,04100,10000
B9561,04111,10000
B9562,04112,10000
B957,04119,10000
B958,04110,10000
B960,04181,10000
B961,0413,00000
B9620,04149,10000
B9621,04141,00000
B9622,04142,00000
B9623,04143,00000
B9629,04149,10000
B963,0415,10000
B964,0416,00000
B965,0417,00000
B966,04182,00000
B967,04183,10000
B9681,04186,00000
B9682,04184,10000
B9689,04189,10000
B970,0790,10000
B9710,07999,10000
B9711,0792,10000
B9712,0791,10000
B9719,07989,10000
B9721,07982,00000
B9729,07989,10000
B9730,07950,00000
B9731,07959,10000
B9732,07959,10000
B9733,07951,00000
B9734,07952,00000
B9735,07953,00000
B9739,07959,10000
B974,0796,10000
B975,07989,10000
B976,07989,10000
B977,0794,00000
